Map Locus ,Starting ,Ending ,Shorthand ,Description ,
MT-TY,5826,5891,Y,tRNA tyrosine,
MT-TW,5512,5579,W,tRNA tryptophan,
MT-TV,1602,1670,V,tRNA valine,
MT-TT,15888,15953,T,tRNA threonine,
MT-TS2,12207,12265,S(AGY),tRNA serine2,
MT-TS1,7446,7514,S(UCN),tRNA serine 1,
MT-TR,10405,10469,R,tRNA arginine,
MT-TQ,4329,4400,Q,tRNA glutamine,
MT-TP,15956,16023,P,tRNA proline,
MT-TN,5657,5729,N,tRNA asparagine,
MT-TM,4402,4469,M,tRNA methionine,
MT-TL2,12266,12336,L(CUN),tRNA leucine2,
MT-TL1,3230,3304,L(UUA/G),tRNA leucine 1,
MT-TK,8295,8364,K,tRNA lysine,
MT-TI,4263,4331,I,tRNA isoleucine,
MT-TH,12138,12206,H,tRNA histidine,
MT-TG,9991,10058,G,tRNA glycine,
MT-TFY,276,303,CR:TFY,mtTF1 binding site,
MT-TFX,233,260,CR:TFX,mtTF1 binding site,
MT-TFL,418,445,CR:mtTF1,mtTF1 binding site,
MT-TFH,523,550,CR:TFH,mtTF1 binding site,
MT-TF,577,647,F,tRNA phenylalanine,
MT-TER,3229,3256,-,Transcription terminator,
MT-TE,14674,14742,E,tRNA glutamic acid,
MT-TD,7518,7585,D,tRNA aspartic acid,
MT-TC,5761,5826,C,tRNA cysteine,
MT-TAS2,16081,16138,CR:TAS2,extended termination-associated sequence,
MT-TAS,16157,16172,CR:TAS,termination-associated sequence,
MT-TA,5587,5655,A,tRNA alanine,
MT-RNR3,3206,3229,-,5S-like sequence,
MT-RNR2,1671,3229,16S,16S ribosomal RNA,
MT-RNR1,648,1601,12S,12S ribosomal RNA,
MT-OLR,5721,5798,OL,L-strand origin,
MT-OHR57,57,57,CR:OH57,H-strand origin,
MT-OHR,110,441,CR:OH,H-strand origins,
MT-ND6,14149,14673,ND6,NADH dehydrogenase subunit 6,
MT-ND5,12337,14148,ND5,NADH dehydrogenase subunit 5,
MT-ND4L,10470,10766,ND4L,NADH dehydrogenase subunit 4L,
MT-ND4,10760,12137,ND4,NADH dehydrogenase subunit 4,
MT-ND3,10059,10404,ND3,NADH dehydrogenase subunit 3,
MT-ND2,4470,5511,ND2,NADH dehydrogenase subunit 2,
MT-ND1,3307,4262,ND1,NADH Dehydrogenase subunit 1,
MT-NC9,14743,14746,NC9,non-coding nucleotides,
MT-NC8,8365,8365,NC8,non-coding nucleotide,
MT-NC7,8270,8294,NC7,non-coding nucleotides,
MT-NC6,7515,7517,NC6,non-coding nucleotides,
MT-NC5,5892,5903,NC5,non-coding nucleotides,
MT-NC4,5656,5656,NC4,non-coding nucleotides,
MT-NC3,5580,5586,NC3,non-coding nucleotides,
MT-NC2,4401,4401,NC2,non-coding nucleotides,
MT-NC10,15954,15955,NC10,non-coding nucleotides,
MT-NC1,3305,3306,NC1,non-coding nucleotides,
MT-LSP,392,435,CR:PL,L-strand promoter,
MT-HV3,438,574,CR:HVS3,Hypervariable segment 3,
MT-HV2,57,372,CR:HVS2,Hypervariable segment 2 [classic:73-340 ],
MT-HV1,16024,16383,CR:HVS1/HV1,Hypervariable segment 1 [classic:16024-16365],
MT-Hum,2633,2705,Humanin,Humanin peptide,
MT-HSP2,645,645,PH2,Minor H-strand promoter,
MT-HSP1,545,567,CR:PH1,Major H-strand promoter,
MT-HPR,317,321,CR:HPR,replication primer,
MT-CYB,14747,15887,Cytb,Cytochrome b,
MT-CSB3,346,363,CR:CSB3,Conserved sequence block 3,
MT-CSB2,299,315,CR:CSB2,Conserved sequence block 2,
MT-CSB1,213,235,CR:CSB1,Conserved sequence block 1,
MT-CR,16024,576,CR:Control Region,entire Control Region (including displacement loop),
MT-CO3,9207,9990,COIII,Cytochrome c oxidase subunit III,
MT-CO2,7586,8269,COII,Cytochrome c oxidase subunit II,
MT-CO1,5904,7445,COI,Cytochrome c oxidase subunit I,
MT-ATT,15925,499,ATT,membrane attachment site,
MT-ATP8,8366,8572,ATPase8,ATP synthase F0 subunit 8,
MT-ATP6,8527,9207,ATPase6,ATP synthase F0 subunit 6,
MT-7SDNA,16106,191,CR:7S-like,7S DNA,
MT-5,16194,16208,CR:mt5,control element,
MT-4H,371,379,CR:mt4H,mt4 H-strand control element,
MT-3L,16499,16506,CR:mt3L,L-strand control element,
MT-3H,384,391,CR:mt3H,mt3 H-strand control element,
